# pair
86.856	0.332	86.898	5.111	1.646	4.984	-5.8499	1.564       1.678      1.591      15.916      -3.131      22.246      -5.7250	1549.8180674628167708  -371295.42279407702154
86.861	0.334	86.902	5.163	2.953	4.108	-5.8199	1.579       1.672      1.612      14.358      -7.222      20.182      -5.7081	1550.2235444931052371  -371295.40889954118757
86.866	0.338	86.906	4.920	4.625	3.141	-5.7959	1.593       1.663      1.631      12.655      -10.995      17.581      -5.6924	1550.2103536788704332  -371294.85985116066877
86.871	0.343	86.909	4.197	6.531	1.997	-5.7802	1.605       1.650      1.648      10.776      -14.362      14.459      -5.6760	1549.4213629333173685  -371294.47719304129714
86.875	0.351	86.910	3.167	8.289	0.651	-5.7750	1.614       1.634      1.660      8.692      -17.254      10.863      -5.6640	1548.2784025453972845  -371292.65659846831113
86.877	0.360	86.910	1.979	9.592	-0.901	-5.7788	1.622       1.616      1.669      6.381      -19.644      6.874      -5.6647	1547.5059106565618094  -371291.37581552908523
86.878	0.370	86.908	0.672	10.470	-2.459	-5.7901	1.627       1.595      1.674      3.843      -21.546      2.601      -5.6844	1547.8237349046821691  -371290.57283439551247
86.878	0.381	86.905	-0.661	10.906	-3.570	-5.8087	1.630       1.573      1.674      1.106      -23.005      -1.821      -5.7272	1549.2027555483959986  -371290.41634413681459
86.877	0.392	86.901	-1.890	10.844	-4.025	-5.8332	1.629       1.549      1.670      -1.767      -24.080      -6.235      -5.7902	1550.9781254462277502  -371289.98313251481159
86.875	0.402	86.897	-2.982	10.284	-3.834	-5.8613	1.626       1.525      1.662      -4.677      -24.813      -10.468      -5.8583	1552.3471140072056187  -371289.58954958373215
86.871	0.412	86.894	-4.005	9.229	-3.123	-5.8919	1.620       1.500      1.650      -7.501      -25.212      -14.339      -5.9202	1552.6928495351119182  -371288.68347483430989
86.867	0.421	86.891	-5.116	7.861	-2.273	-5.9278	1.611       1.474      1.633      -10.107      -25.258      -17.697      -5.9826	1551.9102001347264377  -371287.75467179494444
