LJ_3n				
N	4000	R	1	30
616	5.459864966	2002.512675	4414.940308	
617	5.467116779	1970.496354	4339.052011	
618	5.474368592	1939.03036	4264.562846	
619	5.481620405	1908.104548	4191.445248	
620	5.488872218	1877.708971	4119.672226	
621	5.496124031	1847.833879	4049.217359	
622	5.503375844	1818.469712	3980.054775	
623	5.510627657	1789.607099	3912.159145	
624	5.51787947	1761.236853	3845.505667	
625	5.525131283	1733.349965	3780.070056	
626	5.532383096	1705.937604	3715.828535	
627	5.539634909	1678.99111	3652.757817	
628	5.546886722	1652.501994	3590.835102	
629	5.554138535	1626.461929	3530.03806	
630	5.561390348	1600.862754	3470.344826	
631	5.568642161	1575.696462	3411.733985	
632	5.575893973	1550.955205	3354.184565	
633	5.583145786	1526.631286	3297.676027	
634	5.590397599	1502.717157	3242.188255	
635	5.597649412	1479.205414	3187.701546	
636	5.604901225	1456.088798	3134.196602	
637	5.612153038	1433.360191	3081.654523	
638	5.619404851	1411.012609	3030.056793	
639	5.626656664	1389.039204	2979.385279	
640	5.633908477	1367.433259	2929.622214	
641	5.64116029	1346.188187	2880.750197	
642	5.648412103	1325.297525	2832.752182	
643	5.655663916	1304.754936	2785.611469	
644	5.662915729	1284.554203	2739.311697	
645	5.670167542	1264.689227	2693.83684	
646	5.677419355	1245.154026	2649.171193	
647	5.684671168	1225.942732	2605.299373	
648	5.691922981	1207.049588	2562.206307	
649	5.699174794	1188.468947	2519.877226	
650	5.706426607	1170.195269	2478.29766	
651	5.71367842	1152.223118	2437.45343	
652	5.720930233	1134.547161	2397.330644	
653	5.728182046	1117.162168	2357.915688	
654	5.735433858	1100.063004	2319.195221	
655	5.742685671	1083.244635	2281.156172	
656	5.749937484	1066.702117	2243.785729	
657	5.757189297	1050.430602	2207.071338	
658	5.76444111	1034.425334	2171.000695	
659	5.771692923	1018.681643	2135.561744	
660	5.778944736	1003.194948	2100.742666	
661	5.786196549	987.9607555	2066.53188	
